iteration, (col, row), utility

0, 0|0, 0.000000
0, 1|0, 0.000000
0, 2|0, 0.000000
0, 3|0, 0.000000
0, 4|0, 0.000000
0, 5|0, 0.000000
0, 6|0, 0.000000
0, 7|0, 0.000000
0, 0|1, 0.000000
0, 1|1, 0.000000
0, 2|1, 0.000000
0, 3|1, 0.000000
0, 4|1, 0.000000
0, 5|1, 0.000000
0, 6|1, 0.000000
0, 7|1, 0.000000
0, 0|2, 0.000000
0, 1|2, 0.000000
0, 2|2, 0.000000
0, 3|2, 0.000000
0, 4|2, 0.000000
0, 5|2, 0.000000
0, 6|2, 0.000000
0, 7|2, 0.000000
0, 0|3, 0.000000
0, 1|3, 0.000000
0, 2|3, 0.000000
0, 3|3, 0.000000
0, 4|3, 0.000000
0, 5|3, 0.000000
0, 6|3, 0.000000
0, 7|3, 0.000000
0, 0|4, 0.000000
0, 1|4, 0.000000
0, 2|4, 0.000000
0, 3|4, 0.000000
0, 4|4, 0.000000
0, 5|4, 0.000000
0, 6|4, 0.000000
0, 7|4, 0.000000
0, 0|5, 0.000000
0, 1|5, 0.000000
0, 2|5, 0.000000
0, 3|5, 0.000000
0, 4|5, 0.000000
0, 5|5, 0.000000
0, 6|5, 0.000000
0, 7|5, 0.000000
0, 0|6, 0.000000
0, 1|6, 0.000000
0, 2|6, 0.000000
0, 3|6, 0.000000
0, 4|6, 0.000000
0, 5|6, 0.000000
0, 6|6, 0.000000
0, 7|6, 0.000000
0, 0|7, 0.000000
0, 1|7, 0.000000
0, 2|7, 0.000000
0, 3|7, 0.000000
0, 4|7, 0.000000
0, 5|7, 0.000000
0, 6|7, 0.000000
0, 7|7, 0.000000
1, 0|0, 7.445486
1, 1|0, 4.072190
1, 2|0, 6.043076
1, 3|0, 2.334841
1, 4|0, 2.155474
1, 5|0, 5.358306
1, 6|0, 1.731681
1, 7|0, 0.386590
1, 0|1, 6.858299
1, 1|1, 4.356110
1, 2|1, 5.396852
1, 3|1, 2.545310
1, 4|1, 2.344446
1, 5|1, 4.596791
1, 6|1, 1.823690
1, 7|1, 0.483841
1, 0|2, 6.358424
1, 1|2, 4.483975
1, 2|2, 4.910115
1, 3|2, 2.674332
1, 4|2, 2.449705
1, 5|2, 4.006494
1, 6|2, 1.845996
1, 7|2, 0.570946
1, 0|3, 5.923587
1, 1|3, 4.505468
1, 2|3, 4.533413
1, 3|3, 2.743883
1, 4|3, 2.494953
1, 5|3, 3.541489
1, 6|3, 1.824250
1, 7|3, 0.644404
1, 0|4, 5.537973
1, 1|4, 4.455021
1, 2|4, 4.232516
1, 3|4, 2.769646
1, 4|4, 2.497301
1, 5|4, 3.168762
1, 6|4, 1.775364
1, 7|4, 0.702979
1, 0|5, 5.190290
1, 1|5, 4.356475
1, 2|5, 3.983765
1, 3|5, 2.762900
1, 4|5, 2.469092
1, 5|5, 2.864483
1, 6|5, 1.710373
1, 7|5, 0.746788
1, 0|6, 4.872420
1, 1|6, 4.226308
1, 2|6, 3.770848
1, 3|6, 2.731833
1, 4|6, 2.419234
1, 5|6, 2.611363
1, 6|6, 1.636383
1, 7|6, 0.776700
1, 0|7, 4.578471
1, 1|7, 4.075892
1, 2|7, 3.582553
1, 3|7, 2.682446
1, 4|7, 2.354145
1, 5|7, 2.396789
1, 6|7, 1.557885
1, 7|7, 0.793965
2, 0|0, 15.833864
2, 1|0, 15.348503
2, 2|0, 15.478402
2, 3|0, 14.989460
2, 4|0, 12.029106
2, 5|0, 13.258021
2, 6|0, 12.808478
2, 7|0, 12.379952
2, 0|1, 15.348503
2, 1|1, 14.998468
2, 2|1, 15.076713
2, 3|1, 14.721576
2, 4|1, 11.689360
2, 5|1, 12.774844
2, 6|1, 12.459271
2, 7|1, 12.138679
2, 0|2, 14.873769
2, 1|2, 14.543363
2, 2|2, 14.677413
2, 3|2, 14.338413
2, 4|2, 11.248234
2, 5|2, 12.304807
2, 6|2, 12.008693
2, 7|2, 11.715239
2, 0|3, 14.408069
2, 1|3, 14.085737
2, 2|3, 14.275465
2, 3|3, 13.908429
2, 4|3, 10.808188
2, 5|3, 11.845236
2, 6|3, 11.557803
2, 7|3, 11.275019
2, 0|4, 13.951098
2, 1|4, 13.635623
2, 2|4, 13.375791
2, 3|4, 13.105654
2, 4|4, 10.398271
2, 5|4, 11.398371
2, 6|4, 11.121585
2, 7|4, 10.850100
2, 0|5, 13.502721
2, 1|5, 13.194279
2, 2|5, 12.896376
2, 3|5, 12.606499
2, 4|5, 10.190326
2, 5|5, 10.986205
2, 6|5, 10.732196
2, 7|5, 10.479098
2, 0|6, 13.063227
2, 1|6, 12.765548
2, 2|6, 12.476050
2, 3|6, 12.193844
2, 4|6, 11.704657
2, 5|6, 10.789921
2, 6|6, 10.522825
2, 7|6, 10.262345
2, 0|7, 12.636735
2, 1|7, 12.385322
2, 2|7, 12.133298
2, 3|7, 11.881532
2, 4|7, 11.607225
2, 5|7, 10.609453
2, 6|7, 10.359167
2, 7|7, 10.111269
3, 0|0, 23.391732
3, 1|0, 22.833795
3, 2|0, 23.409052
3, 3|0, 22.840672
3, 4|0, 22.294720
